"swbi","iDeaths","iCases","FTSEMIB","iCoronaVirus","iCoronaVirusNews","iCovid","iCovidNews","iRt","iUnemployment","iUnemploymentNews","iEconomy","iEconomyNews","iGDP","iGDPNews","iStress","iDepression","iHealth","iSolitude","iInsomnia","iResidential","iWorkplace","ipm25","itemperature","iWuhan","iAdultContent","iFB.CLI","iFB.ILI","iFB.MC","iFB.DC","iFB.HF","ilockdown"
52.9746457578083,NA,NA,23342,0,0,0,0,33.8571428571429,31.1428571428571,42.5714285714286,76.2857142857143,56.7142857142857,38.1428571428571,48.7142857142857,75.1428571428571,82.1428571428571,20,60.5714285714286,53.8571428571429,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,0
52.568920751512,NA,NA,23259,0,0,0,0,33.5714285714286,31.4285714285714,40.7142857142857,75.8571428571429,58.1428571428571,38.4285714285714,51.1428571428571,75.4285714285714,80.4285714285714,20,61.7142857142857,55.5714285714286,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,0
52.3876155992644,NA,NA,23082.3333333333,0,0,0,0,33.2857142857143,31.7142857142857,38.8571428571429,75.4285714285714,59.5714285714286,38.7142857142857,53.5714285714286,75.7142857142857,78.7142857142857,20,62.8571428571429,57.2857142857143,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,0
52.247825312799,NA,NA,22905.6666666667,0,0,0,0,33,32,37,75,61,39,56,76,77,20,64,59,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,0
53.0199302713936,NA,NA,22729,0,0,0,0,34,31.5714285714286,37.1428571428571,75.5714285714286,56.7142857142857,38.8571428571429,60.4285714285714,74.5714285714286,78.1428571428571,19.8571428571429,61.7142857142857,61,NA,NA,NA,NA,NA,66.5714285714286,NA,NA,NA,NA,NA,0
53.0695923226403,NA,NA,22737,0,0,0,0,35,31.1428571428571,37.2857142857143,76.1428571428571,52.4285714285714,38.7142857142857,64.8571428571429,73.1428571428571,79.2857142857143,19.7142857142857,59.4285714285714,63,NA,NA,NA,NA,NA,67.1428571428571,NA,NA,NA,NA,NA,0
52.5842290207092,NA,NA,23034,0,0,0,0,36,30.7142857142857,37.4285714285714,76.7142857142857,48.1428571428571,38.5714285714286,69.2857142857143,71.7142857142857,80.4285714285714,19.5714285714286,57.1428571428571,65,NA,NA,NA,NA,NA,67.7142857142857,NA,NA,NA,NA,NA,0
52.8884887238358,NA,NA,22969,0,0,0,0,37,30.2857142857143,37.5714285714286,77.2857142857143,43.8571428571429,38.4285714285714,73.7142857142857,70.2857142857143,81.5714285714286,19.4285714285714,54.8571428571429,67,NA,NA,NA,NA,NA,68.2857142857143,NA,NA,NA,NA,NA,0
52.4661857067391,NA,NA,23183,0,0,0,0,38,29.8571428571429,37.7142857142857,77.8571428571429,39.5714285714286,38.2857142857143,78.1428571428571,68.8571428571429,82.7142857142857,19.2857142857143,52.5714285714286,69,NA,NA,NA,NA,NA,68.8571428571429,NA,NA,NA,NA,NA,0
51.3591697772547,NA,NA,23107.6666666667,0,0,0,0,39,29.4285714285714,37.8571428571429,78.4285714285714,35.2857142857143,38.1428571428571,82.5714285714286,67.4285714285714,83.8571428571429,19.1428571428571,50.2857142857143,71,NA,NA,NA,NA,NA,69.4285714285714,NA,NA,NA,NA,NA,0
