"swbj","jDeaths","jCases","NIKKEI","jCoronaVirus","jCoronaVirusNews","jCorona","jCoronaNews","jCovid","jCovidNews","jUnemployment","jUnemploymentNews","jEconomy","jEconomyNews","jGDP","jGDPNews","jStress","jDepression","jHealth","jSolitude","jInsomnia","jResidential","jWorkplace","jpm25","jtemperature","jWuhan","jAdultContent","jFB.CLI","jFB.ILI","jFB.MC","jFB.DC","jFB.HF","jlockdown"
NA,NA,NA,22850.769531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,22951.07470675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,23051.3798825,0,0,NA,0,0,0,42,0,60,39,24,29,44,68,79,92,65,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,0
NA,NA,NA,23151.68505825,0,0,NA,0,0,0,42.4285714285714,3.85714285714286,60,40,25.1428571428571,36.4285714285714,46.8571428571429,68.8571428571429,79.4285714285714,89.1428571428571,64.5714285714286,NA,NA,NA,NA,NA,56.8571428571429,NA,NA,NA,NA,NA,0
NA,NA,NA,23251.990234,0,0,NA,0,0,0,42.8571428571429,7.71428571428571,60,41,26.2857142857143,43.8571428571429,49.7142857142857,69.7142857142857,79.8571428571429,86.2857142857143,64.1428571428571,NA,NA,NA,NA,NA,56.7142857142857,NA,NA,NA,NA,NA,0
NA,NA,NA,23303.820313,0,0,NA,0,0,0,43.2857142857143,11.5714285714286,60,42,27.4285714285714,51.2857142857143,52.5714285714286,70.5714285714286,80.2857142857143,83.4285714285714,63.7142857142857,NA,NA,NA,NA,NA,56.5714285714286,NA,NA,NA,NA,NA,0
28.5882528580413,NA,NA,23330.320313,0,0,NA,0,0,0,43.7142857142857,15.4285714285714,60,43,28.5714285714286,58.7142857142857,55.4285714285714,71.4285714285714,80.7142857142857,80.5714285714286,63.2857142857143,NA,NA,NA,NA,NA,56.4285714285714,NA,NA,NA,NA,NA,0
32.0800802483748,NA,NA,23391.869141,0,0,NA,0,0,0,44.1428571428571,19.2857142857143,60,44,29.7142857142857,66.1428571428571,58.2857142857143,72.2857142857143,81.1428571428571,77.7142857142857,62.8571428571429,NA,NA,NA,NA,NA,56.2857142857143,NA,NA,NA,NA,NA,0
36.7440057370853,NA,NA,23371.8593753333,0,0,NA,0,0,0,44.5714285714286,23.1428571428571,60,45,30.8571428571429,73.5714285714286,61.1428571428571,73.1428571428571,81.5714285714286,74.8571428571429,62.4285714285714,NA,NA,NA,NA,NA,56.1428571428571,NA,NA,NA,NA,NA,0
37.4503937521443,NA,NA,23351.8496096667,0,0,NA,0,0,0,45,27,60,46,32,81,64,74,82,72,62,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,0
37.6246346570924,NA,NA,23331.839844,0,0,NA,0,0,0,44.4285714285714,23.1428571428571,60.4285714285714,45,31.5714285714286,75.2857142857143,68,75.5714285714286,81.8571428571429,73.4285714285714,63.8571428571429,NA,NA,NA,NA,NA,56.2857142857143,NA,NA,NA,NA,NA,0
37.8091542230233,NA,NA,23520.009766,0,0,NA,0,0,0,43.8571428571429,19.2857142857143,60.8571428571429,44,31.1428571428571,69.5714285714286,72,77.1428571428571,81.7142857142857,74.8571428571429,65.7142857142857,NA,NA,NA,NA,NA,56.5714285714286,NA,NA,NA,NA,NA,0
